risk_id	dependency_or_area	ecosystem	intended_role	license	license_source	status	risk	cleanup_or_alternative	p7_task_id	mechanical_resolution
P6-D024	playwright	Frontend dev	Desktop mobile real-browser E2E visual and audio-policy tests	Apache-2.0	OFFICIAL_NPM_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	Large browser downloads and flaky snapshots	CI/dev-only pinned browser revision; deterministic fixtures; thresholded visual review	P7.1-002;P7.2-004	Resolve exact release/browser revision; cache policy; license/SBOM dev scope; package absence check
P6-D025	axe-core	Frontend dev	Automated accessibility checks supplementing manual review	MPL-2.0	OFFICIAL_NPM_REGISTRY_AND_REPOSITORY_METADATA_MUST_MATCH_LOCKFILE	APPROVED	File-level copyleft obligations or accidental runtime bundling	Dev-only unmodified package; retain notice; exclude from product bundles; manual accessibility remains required	P7.1-002;P7.2-004	Resolve exact dev release; license text inclusion in dev SBOM; runtime import and final-package absence checks
P6-D026	Node.js and npm	Build toolchain	Frontend dependency resolution test and static asset build only	Node.js license plus bundled third-party notices	OFFICIAL_DISTRIBUTION_LICENSE_AND_LOCKED_TOOLCHAIN_METADATA_REQUIRED	APPROVED	Could return as end-user runtime or first-run installer	Pin build toolchain; final packages contain no node npm npx node_modules or Vite dev server	P7.1-002;P7.1-003	Pin exact major/minor via toolchain file; clean builder validation; final artifact executable/string/path deny audit
P6-D027	Rust toolchain cargo rustc	Build toolchain	Compile test and package both Rust entries	Apache-2.0 OR MIT plus bundled notices	OFFICIAL_RUST_DISTRIBUTION_METADATA_REQUIRED	APPROVED	Unpinned compiler changes reproducibility or MSRV	Pin toolchain channel and components; record target triples	P7.1-002;P7.4-001	Resolve rust-toolchain file; compiler and target fingerprints; reproducible build comparison; toolchain not shipped
P6-D028	Caddy	Public runtime dependency	HTTPS reverse proxy static edge and safe proxy defaults	Apache-2.0	OFFICIAL_RELEASE_LICENSE_AND_PACKAGE_METADATA_REQUIRED	APPROVED	Production package source ambiguity or unauthorized live certificate issuance	Package a version requirement and config template only unless redistribution audit approves binary; production use remains separately authorized	P7.1-002;P7.1-014	Resolve installed/distributed mode; exact version and license; config validate on disposable host; no live DNS/cert request
P6-D029	systemd	Public runtime platform	Linux service supervision hardening and restart	LGPL-2.1-or-later	OFFICIAL_UBUNTU_PACKAGE_METADATA_REQUIRED	APPROVED	Assuming unavailable platform or shipping host components	Depend on Ubuntu 24.04 host service manager; ship only unit file	P7.1-002;P7.1-014	Resolve target image package metadata; systemd-analyze verify; package audit proves no systemd binary redistribution
P6-D030	Ubuntu 24.04 runtime libraries	Public runtime platform	glibc DNS certificates timezone and OS integration	MIXED_OS_PACKAGES	OFFICIAL_UBUNTU_PACKAGE_METADATA_AND_SBOM_REQUIRED	APPROVED	Undeclared dynamic libraries or incompatible minimum image	Prefer self-contained Rust binary where practical; enumerate dynamic linkage and minimum packages	P7.1-002;P7.4-003	Disposable-image ldd/package query; exact OS package list; license/SBOM capture; clean install test
P6-D031	Fastify and Fastify plugins	Legacy Node backend	No final consumer	MIT	P2_DIRECT_DEPENDENCY_CLOSURE	REJECTED	Keeping them permits a second backend and Node runtime	Port frozen contracts to Axum then remove imports manifests lock entries tests and runtime docs	P7.1-002;P7.1-003	Zero-consumer and lockfile absence assertions; API golden parity before removal
P6-D032	better-sqlite3	Legacy Node backend	No final consumer	MIT	P2_DIRECT_DEPENDENCY_CLOSURE	REJECTED	Native Node addon breaks self-contained Rust runtime and duplicates persistence	Port SQL behavior to rusqlite bundled SQLite then remove addon rebuild scripts and transitive packages	P7.1-002;P7.1-005	Migration/query parity; manifest/lock/package absence; clean Windows no-Node test
P6-D033	root Zod backend schemas	Legacy Node backend	No final backend consumer	MIT	P2_DIRECT_DEPENDENCY_CLOSURE	REJECTED	Retaining hand-authored backend schemas creates a second contract	Port to Rust typed contracts; frontend Zod is separately conditional under P6-D020	P7.1-002;P7.1-004	Symbol/consumer classification; golden contract parity; remove root backend lock entries
P6-D034	tsx root TypeScript and backend @types	Legacy Node tooling	No final backend runtime consumer	MIXED_MIT	P2_DIRECT_DEPENDENCY_CLOSURE	REJECTED	Can preserve obsolete Node runners and tests	Migrate valuable tests or fixtures then remove/isolate; retain TypeScript only in frontend build graph	P7.1-002;P7.1-003	Import/script/lockfile audit; command allowlist; final package zero Node tooling
P6-D035	react-window and types	Legacy frontend	No current product consumer	MIT	P2_DIRECT_DEPENDENCY_CLOSURE	REJECTED	Unused dependency and premature virtualization surface	Remove; reintroduce only through a future measured requirement and new approval	P7.1-002	Zero import manifest and lockfile assertion; normal pagination/large-list browser tests
P6-D036	mail SMTP SendGrid notification dependencies	Legacy notification stack	No current product consumer	MIXED	P2_ONLY_CLOSURE_EMAIL	REJECTED	Restores excluded email/contact/token product and secret surface	Remove complete source config schema tests templates dependencies startup and package closure	P7.1-002;P7.1-013	Repository symbol/config/lock/package deny scans across both targets
P6-D037	Discord SDK webhook OAuth dependencies	Legacy notification stack	No current product consumer	MIXED	P2_ONLY_CLOSURE_DISCORD	REJECTED	Restores deliberately removed integration and secrets	Keep zero current source route config schema dependency and package surface	P7.1-002;P7.1-013	Repository and artifact deny scans across source API config i18n bundles and packages
P6-D038	HTTP claim polling device-id dependencies	Legacy local notification path	No current product consumer	MIXED	P2_ONLY_CLOSURE_HTTP_CLAIM	REJECTED	Duplicates WebSocket protocol and restores device identifiers and sent queues	Replace with shared WS observation and episode protocol; remove route storage worker and client poller	P7.1-002;P7.1-008	Protocol/route/storage/string absence; WS lifecycle and replay tests
P6-D039	Vite dev server npm-on-first-run and oneclick_start.js runtime	Legacy local runtime	No end-user runtime consumer	MIXED	P2_ONLY_CLOSURE_NPM_FIRST_RUN	REJECTED	Requires downloads Node native rebuild and multiple processes on user machine	Keep Vite only as pinned build tool; replace runtime with one Rust exe and thin BAT	P7.1-002;P7.1-010	Clean Windows no-Node test; process tree audit; final archive path/executable deny scan
P6-D040	macOS launcher and platform dependencies	Legacy package	No current package consumer	MIXED	P2_WINDOWS_ONLY_DECISION	REJECTED	Expands unsupported platform and untestable release surface	Remove from current build and both canonical package allowlists	P7.1-002;P7.4-004	Target matrix and artifact manifest deny assertion
P6-D041	Calendar waitlist share-link compact-view dependencies	Excluded product surfaces	No current product consumer	MIXED	P2_ONLY_CLOSURE_PRODUCT_NON_TARGETS	REJECTED	Creates unsupported UI API schema route and package residue	Remove entire transitive closure; ordinary direct Section route and Saved views stay within frozen boundaries	P7.1-002;P7.1-013	Source DOM route API storage i18n bundle and package deny scans
P6-D042	Duplicate alternate HTTP query persistence i18n or Open stacks	Architecture risk	No consumer permitted	MIXED	P5_SINGLE_SHARED_BASELINE_CONTRACT	REJECTED	Semantic drift and variant fork	One shared implementation plus narrow adapters; dependency consumer closure blocks alternatives	P7.1-002;P7.1-003	Cargo/npm duplicate and import graph audit; one-owner assertions; shared suite executed for both entries
