trace_id	source_phase	source_artifact	source_requirement	kind	p7_task_ids	verification_ids	package_impact	risk_ids	status
P6-X-P4-002	P4	p4/02-public-runtime-session-capability-contract.md	EXHAUSTIVE_PUBLIC_SESSION_CAPABILITIES top-level document defaults locale ephemeral filter/selection/audio/watch/history and zero Saved views	CAPABILITY	P7.1-008;P7.1-009;P7.1-012;P7.1-013;P7.2-003;P7.2-004	P7-V-P4-PUBLIC-SESSION	LINUX_PUBLIC_DEPLOYMENT_PACKAGE	P6-D017;P6-D018;P6-D019;P6-D042	MAPPED
P6-X-P4-003	P4	p4/03-public-refresh-capacity-degradation-plan.md	EXHAUSTIVE_PUBLIC_REFRESH_CAPABILITIES fixed clocks shared limiter EDF partial commits counters retention fanout and truthful degradation	CAPABILITY	P7.1-005;P7.1-007;P7.1-008;P7.1-012;P7.1-015;P7.2-003	P7-V-P4-PUBLIC-REFRESH-CAPACITY	LINUX_PUBLIC_DEPLOYMENT_PACKAGE	P6-D002;P6-D003;P6-D005;P6-D007;P6-D011	MAPPED
P6-X-P4-004	P4	p4/06-p4-traceability-matrix.tsv	EXHAUSTIVE_ALL_258_TRACE_AND_VERIFICATION_ROWS mapped as a closed rowset; source SHA256 F5E5BC153D5E1FF0F39FCE0BFAC373970D2960CE6352A939D5EBDC0B7EBA3AD1	TEST_OR_VERIFICATION	P7.1-003;P7.1-004;P7.1-005;P7.1-006;P7.1-007;P7.1-008;P7.1-009;P7.1-012;P7.1-013;P7.1-014;P7.1-015;P7.2-004;P7.4-001;P7.4-003;P7.4-004	P7-V-P4-TRACE-258-ROWSET	LINUX_PUBLIC_DEPLOYMENT_PACKAGE	P6-D042	MAPPED
P6-X-P4-005	P4	p4/05-public-capability-deny-audit.tsv	EXHAUSTIVE_ALL_144_PUBLIC_ZERO_SURFACE_ASSERTIONS across source DOM route API storage i18n bundle and package; source SHA256 AB9F58D1B67A42924E09413120C67911BF0A5B6F75595FFB70A00C17947CA622	TEST_OR_VERIFICATION	P7.1-003;P7.1-013;P7.1-015;P7.2-004;P7.3-003;P7.4-001;P7.4-003;P7.4-004;P7.5-003;P7.5-004;P7.5-005	P7-V-P4-ZERO-SURFACE-144-ROWSET	LINUX_PUBLIC_DEPLOYMENT_PACKAGE	P6-D018;P6-D019;P6-D020;P6-D036;P6-D037;P6-D041	MAPPED
P6-X-P4-006	P4	p4/03-public-refresh-capacity-degradation-plan.md sections 6-9; p4/04-linux-package-and-operations-plan.md sections 9-13	EXHAUSTIVE_PUBLIC_CAPACITY_DEGRADATION_OPERATIONS_RISKS overload lag circuit stale retention backup restore rollback secret staging and authorization boundaries	RISK	P7.1-007;P7.1-008;P7.1-012;P7.1-014;P7.1-015;P7.4-001;P7.4-003;P7.4-005;P7.5-001;P7.5-003;P7.5-004;P7.5-005	P7-V-P4-CAPACITY-OPS-RISKS	LINUX_PUBLIC_DEPLOYMENT_PACKAGE	P6-D003;P6-D005;P6-D007;P6-D028;P6-D029;P6-D030	MAPPED
P6-X-P4-007	P4	p4/00-p4-charter-and-preflight.md	P4 scope/zero-side-effect charter frozen as public implementation authorization input only; source SHA256 B4E178CF1EBAE078250CEA1DAFA480169BD0A309BF72DFDFC75A2AD2B6A93647	RISK	P7.1-001;P7.1-003;P7.1-013;P7.1-014;P7.5-001;P7.5-004	P7-V-P4-SCOPE-BOUNDARY	LINUX_PUBLIC_DEPLOYMENT_PACKAGE	P6-D042	MAPPED
P6-X-P4-008	P4	p4/04-linux-package-and-operations-plan.md	LINUX_PUBLIC_DEPLOYMENT_PACKAGE allowlist external /var/lib/bcsp first-start operational-only storage systemd Caddy backup restore upgrade rollback and post-P7 production authorization boundary; source SHA256 71744604BA7C4CC7EC193A2CB8429BF7494412B9ED1613BA04E9C4AF2816CB90	ARTIFACT_OR_PACKAGE	P7.1-012;P7.1-013;P7.1-014;P7.4-003;P7.4-004;P7.4-005;P7.5-001;P7.5-003;P7.5-004;P7.5-005	P7-V-P4-LINUX-PACKAGE	LINUX_PUBLIC_DEPLOYMENT_PACKAGE	P6-D027;P6-D028;P6-D029;P6-D030	MAPPED
P6-X-P4-009	P4	p4/07-p4-validation-gate.md; p4/07a-p4-validation-gate.json	P4_PASS final gate plus machine record; source SHA256 3DF1C43EB15CDBDA4970A4D61E2B48AA474C4EC31E875001923B36D6B18BE650 and A879B1988A2121344585C8B1D83992FDF5ADE805A0C3816722055A77D8EFEADD	ARTIFACT_OR_PACKAGE	P7.1-001;P7.1-015;P7.4-001;P7.4-005;P7.5-001;P7.5-005	P7-V-P4-GATE-PASS	LINUX_PUBLIC_DEPLOYMENT_PACKAGE	P6-D042	MAPPED
P6-X-P5-001	P5	p5/01-shared-local-public-capability-matrix.tsv	EXHAUSTIVE_ALL_76_CAPABILITY_ROWS with unique semantic owners and SHARED LOCAL_ONLY PUBLIC_ONLY EXCLUDED classifications; source SHA256 4CDCC23CA05E87B19EF5776750CF8FAF995E8C894B595900875851B535F00509	CAPABILITY	P7.1-003;P7.1-004;P7.1-005;P7.1-006;P7.1-007;P7.1-008;P7.1-009;P7.1-010;P7.1-011;P7.1-012;P7.1-013;P7.1-014;P7.1-015;P7.2-004;P7.5-001;P7.5-002;P7.5-003;P7.5-004;P7.5-005	P7-V-P5-CAPABILITY-76-ROWSET	WINDOWS_LOCAL_RELEASE_ARCHIVE;LINUX_PUBLIC_DEPLOYMENT_PACKAGE	P6-D042	MAPPED
P6-X-P5-002	P5	p5/02-adapter-entrypoint-config-boundaries.md	EXHAUSTIVE_MODULE_PORT_PROVIDER_CAPABILITY_MANIFEST_CONFIG_FEATURE_ROUTER_SCHEMA_AND_SINGLE_PHYSICAL_DATABASE_BOUNDARIES	CAPABILITY	P7.1-003;P7.1-004;P7.1-010;P7.1-012;P7.1-013;P7.1-015;P7.5-002;P7.5-003;P7.5-004	P7-V-P5-ADAPTER-GRAPH	WINDOWS_LOCAL_RELEASE_ARCHIVE;LINUX_PUBLIC_DEPLOYMENT_PACKAGE	P6-D001;P6-D002;P6-D017;P6-D018;P6-D042	MAPPED
P6-X-P5-003	P5	p5/03-ui-capability-and-build-exclusion-contract.md	EXHAUSTIVE_SHARED_REACT_FILTERSCHEMA_TARGET_COMPOSITION_AND_EIGHT_LAYER_PUBLIC_EXCLUSION_CAPABILITIES	CAPABILITY	P7.1-003;P7.1-009;P7.1-013;P7.2-001;P7.2-002;P7.2-003;P7.2-004;P7.3-001;P7.3-002;P7.3-003	P7-V-P5-UI-COMPOSITION	WINDOWS_LOCAL_RELEASE_ARCHIVE;LINUX_PUBLIC_DEPLOYMENT_PACKAGE	P6-D017;P6-D018;P6-D019;P6-D020;P6-D021;P6-D022	MAPPED
P6-X-P5-004	P5	p5/04-test-reuse-and-variant-matrix.tsv	EXHAUSTIVE_ALL_106_TEST_ROWS including shared-on-both local-only public-only exclusion build and package assertions; source SHA256 FB09CBA8F17AAE45DF9303ED7B7EFC202044B1B356C2DBD96A706658D0CEE3DD	TEST_OR_VERIFICATION	P7.1-004;P7.1-005;P7.1-006;P7.1-007;P7.1-008;P7.1-009;P7.1-010;P7.1-011;P7.1-012;P7.1-013;P7.1-014;P7.1-015;P7.2-004;P7.3-003;P7.4-001;P7.4-002;P7.4-003;P7.4-004;P7.4-005;P7.5-001;P7.5-002;P7.5-003;P7.5-004;P7.5-005	P7-V-P5-TEST-106-ROWSET	WINDOWS_LOCAL_RELEASE_ARCHIVE;LINUX_PUBLIC_DEPLOYMENT_PACKAGE	P6-D015;P6-D016;P6-D023;P6-D024;P6-D025	MAPPED
P6-X-P5-005	P5	p5/06-p5-traceability-matrix.tsv	EXHAUSTIVE_ALL_194_TRACE_ROWS with nonempty P6 handoff and gate; source SHA256 5128DE0B7E0F4C25F5A4CCCAAF011E7C4C3E7C3E2143B88FFD90BA3A7938C991	TEST_OR_VERIFICATION	P7.1-003;P7.1-004;P7.1-005;P7.1-006;P7.1-007;P7.1-008;P7.1-009;P7.1-010;P7.1-011;P7.1-012;P7.1-013;P7.1-014;P7.1-015;P7.2-004;P7.4-001;P7.4-004;P7.5-001;P7.5-002;P7.5-003;P7.5-004;P7.5-005	P7-V-P5-TRACE-194-ROWSET	WINDOWS_LOCAL_RELEASE_ARCHIVE;LINUX_PUBLIC_DEPLOYMENT_PACKAGE	P6-D042	MAPPED
P6-X-P5-006	P5	p5/05-conflict-and-leakage-ledger.tsv	EXHAUSTIVE_ALL_12_CONFLICT_AND_LEAKAGE_RISKS covering semantic conflict code fork source/route/API/storage/i18n/bundle/package leakage state ownership Open policy staging and deployment authority; source SHA256 21E61F4CD7317C2873D7C19BDFDEF262561130358CB06818B16CA697F8CDF2D6	RISK	P7.1-003;P7.1-004;P7.1-006;P7.1-007;P7.1-009;P7.1-010;P7.1-011;P7.1-012;P7.1-013;P7.1-014;P7.1-015;P7.2-004;P7.4-001;P7.4-004;P7.4-005;P7.5-001;P7.5-002;P7.5-003;P7.5-004;P7.5-005	P7-V-P5-RISK-12-ROWSET	WINDOWS_LOCAL_RELEASE_ARCHIVE;LINUX_PUBLIC_DEPLOYMENT_PACKAGE	P6-D036;P6-D037;P6-D038;P6-D039;P6-D040;P6-D041;P6-D042	MAPPED
P6-X-P5-007	P5	p5/02-adapter-entrypoint-config-boundaries.md sections 5-8; p5/03-ui-capability-and-build-exclusion-contract.md sections 5-9	EXHAUSTIVE_FEATURE_UNIFICATION_TARGET_IMPORT_BUNDLE_SCHEMA_AND_CONFIG_RISKS with fail-closed build rules	RISK	P7.1-002;P7.1-003;P7.1-013;P7.1-015;P7.2-004;P7.3-003;P7.4-001;P7.4-004	P7-V-P5-BUILD-LEAKAGE-RISKS	WINDOWS_LOCAL_RELEASE_ARCHIVE;LINUX_PUBLIC_DEPLOYMENT_PACKAGE	P6-D018;P6-D019;P6-D020;P6-D021;P6-D031;P6-D042	MAPPED
P6-X-P5-008	P5	p5/00-p5-charter-and-preflight.md; p5/07-p5-validation-gate.md; p5/07a-p5-validation-gate.json	P5 single-shared-baseline artifact family and P5_PASS final machine gate; source SHA256 93137019459770307398C786841CD12F14C14D1116C732BA265C2A9EF98CE867 BB5814D75011D9D6897F0540995CAF432B582A469F6212002264D384FA325985 E5669F65601D68F2BD9B500D1888A922F2D875CE874DDCE7C8CE8C7C664D43CA	ARTIFACT_OR_PACKAGE	P7.1-001;P7.1-003;P7.1-015;P7.4-001;P7.4-004;P7.4-005;P7.5-001;P7.5-005	P7-V-P5-GATE-PASS	WINDOWS_LOCAL_RELEASE_ARCHIVE;LINUX_PUBLIC_DEPLOYMENT_PACKAGE	P6-D042	MAPPED
P6-X-P5-009	P5	p5/01-shared-local-public-capability-matrix.tsv package rows P5-C064 P5-C072 P5-C074 P5-C076	EXHAUSTIVE_TWO_PACKAGE_ARTIFACT_BOUNDARY Windows package-relative single DB Linux external state and both archives zero DB seed real Catalog/Open evidence tool secret or runtime residue	ARTIFACT_OR_PACKAGE	P7.1-010;P7.1-012;P7.1-013;P7.1-014;P7.4-002;P7.4-003;P7.4-004;P7.4-005;P7.5-001;P7.5-002;P7.5-003;P7.5-004;P7.5-005	P7-V-P5-TWO-PACKAGE-BOUNDARY	WINDOWS_LOCAL_RELEASE_ARCHIVE;LINUX_PUBLIC_DEPLOYMENT_PACKAGE	P6-D026;P6-D027;P6-D028;P6-D029;P6-D030;P6-D039;P6-D040	MAPPED
