task_id	subphase	task_name	dependencies	inputs	outputs	mandatory_tests	package_impact	required_skills	commit_boundary	push_boundary	stop_gate
P7.1-011	P7.1	Local Saved views and reset scopes	P7.1-006;P7.1-010	P2 LOCAL_ONLY Saved views contract; P3 local user-state plan; P5 P7-LOCAL-SAVED-VIEWS and P7-LOCAL-RESET mappings	versioned Saved-view snapshot/CRUD/CAS/migration; filter reset; delete-all; confirmed local-user-data reset	CRUD/rename/update/duplicate/conflict/quota; incompatible schema; new-field neutral migration; three reset-scope tests; no share/URL restore	WINDOWS_LOCAL_SOURCE_GRAPH	NONE	DEDICATED_COMMIT_AFTER_LOCAL_STATE_TESTS_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_PUBLIC_DEPENDENCY_IS_NEEDED_OR_RESET_DELETES_CATALOG_OR_APPLICATION
P7.1-012	P7.1	Linux public runtime session fixed clocks and service state	P7.1-003;P7.1-005;P7.1-006;P7.1-007;P7.1-008;P7.1-009	P4 runtime/session and refresh/capacity contracts; P5 public adapter matrix; P7-PUBLIC-RUNTIME and P7-PUBLIC-SESSION mappings	bcsp-public Rust entry; /var/lib/bcsp operational-only service SQLite created on first start; fixed 10m Catalog 30s normal Open and 10s watched batch; ephemeral top-level-document session; health/readiness/metrics	fresh empty state directory; pre-network schema-only zero rows; no LOCAL_ONLY personal migration/table; new-tab/reload defaults; no browser persistence; service-wide Rutgers-day counters; overload/degradation; restart; redacted logs; network-boundary tests	LINUX_PUBLIC_SOURCE_GRAPH	NONE	DEDICATED_COMMIT_AFTER_PUBLIC_RUNTIME_TESTS_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_PUBLIC_USER_CAN_CONFIG_REFRESH_OR_SERVICE_STATE_IS_MISREPRESENTED_AS_PERSONAL_HISTORY
P7.1-013	P7.1	Public zero-surface and dual-target build enforcement	P7.1-003;P7.1-011;P7.1-012	P4 144-row deny audit; P5 build exclusion contract; P5 leakage ledger	public graph deny rules; route/API/storage/i18n/bundle/package scans; local/public capability manifests	all 144 public-zero-surface assertions; source/DOM/route/API/storage/i18n/bundle/package absence; Cargo feature and frontend chunk audit	BOTH_TARGETS_BUILD_GUARD	NONE	DEDICATED_COMMIT_AFTER_ZERO_SURFACE_TESTS_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_HIDDEN_UI_OR_TREE_SHAKING_IS_THE_ONLY_EXCLUSION_MECHANISM
P7.1-014	P7.1	Public operations assets without production mutation	P7.1-012;P7.1-013	P4 Linux package/operations plan; production authorization boundary	systemd unit; Caddy template; install/upgrade/rollback/backup/restore scripts and docs; config schema with secret placeholders	static shell/config validation; disposable-host install/upgrade/rollback/restore rehearsal; no-secret checks; path/permission assertions	LINUX_PUBLIC_SOURCE_GRAPH	NONE	DEDICATED_COMMIT_AFTER_DISPOSABLE_OPS_TESTS_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_TEST_REQUIRES_REAL_PRODUCTION_SERVER_DNS_CERTIFICATE_OR_SECRET
P7.1-015	P7.1	Functional integration gate before visual implementation	P7.1-010;P7.1-011;P7.1-012;P7.1-013;P7.1-014	all P7.1 outputs; P5 test reuse matrix and conflict ledger	integrated local/public dev artifacts; capability/test/risk closure record; stable UI-facing API and state fixtures	shared suite on both entries; local/public variant suites; fake-upstream end-to-end; route/schema compatibility; leakage and clean restart tests	BOTH_TARGETS_PRE_UI_INTEGRATION	NONE	DEDICATED_COMMIT_AFTER_P7_1_INTEGRATION_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_BEFORE_P7_2_IF_FUNCTIONAL_OR_VARIANT_GATE_FAILS
P7.2-001	P7.2	Independent UI design system and responsive shell	P7.1-015	frozen product IA; real integrated API fixtures; desktop/mobile target sizes	design tokens; typography/grid/component primitives; responsive shell; explicit loading/empty/error/stale/lag states; P7.2 design record	component states; keyboard/focus/contrast; responsive viewport checks; visual snapshots	BOTH_TARGETS_UI	$industrial-brutalist-ui;$design-taste-frontend	P7_2_DEDICATED_COMMIT_AFTER_VISUAL_FOUNDATION_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_REQUIRED_UI_SKILLS_ARE_NOT_USED_OR_GENERIC_PLACEHOLDER_UI_REMAINS
P7.2-002	P7.2	Course-centered search filters and Section flows	P7.2-001	22 FilterSchema; Course/Section APIs; delivery/time evidence	desktop/mobile course cards and variants; expandable matching Sections; independent Section search/direct detail; precise filter workflow	22 filter interactions; same-section witness display; URL direct Section reload; large dictionaries; mobile/desktop real-browser visual validation	BOTH_TARGETS_UI	$industrial-brutalist-ui;$design-taste-frontend	P7_2_DEDICATED_COMMIT_AFTER_COURSE_SECTION_VISUAL_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_VISUAL_VALIDATION_OR_CORE_SEARCH_FLOW_FAILS
P7.2-003	P7.2	Watch toast audio freshness and subscription-management UI	P7.2-001;P7.2-002	watch/Open APIs; episode fixtures; freshness/counter states	selected-section manager; start/stop watch; toast/alert center; ONE_SHOT cap controls; CONTINUOUS alarm confirmation; freshness/lag/circuit/counter UI	maximum-nine; audio unlock/failure; cap silent watch; continuous 10m/unlimited A/C/D; disconnect; stale/unknown accessibility and visual tests	BOTH_TARGETS_UI	$industrial-brutalist-ui;$design-taste-frontend	P7_2_DEDICATED_COMMIT_AFTER_WATCH_AUDIO_VISUAL_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_BROWSER_AUDIO_FAILURE_OR_STALE_DATA_IS_HIDDEN
P7.2-004	P7.2	Local/public UI composition i18n accessibility and visual gate	P7.2-002;P7.2-003	local Saved/history/reset capabilities; public ephemeral/zero-surface contract; en-US/zh-CN catalogs	local-only UI composition; public composition with zero forbidden surface; complete two-locale desktop/mobile visual evidence; P7.2 completion record	local Saved/reset/history flows; public reload defaults and 144-surface scan; locale parity; keyboard/screen-reader/contrast; screenshot matrix	BOTH_TARGETS_UI	$industrial-brutalist-ui;$design-taste-frontend	P7_2_FINAL_DEDICATED_COMMIT_AFTER_INTEGRATED_VISUAL_VALIDATION	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_BEFORE_P7_3_UNLESS_P7_2_IMPLEMENTED_INTEGRATED_AND_VISUALLY_VALIDATED
P7.3-001	P7.3	Independent Before-After-Why UI audit	P7.2-004	P7.2 completion record; real local/public desktop/mobile screenshots and interaction recordings	separate P7.3 Before-After-Why audit with prioritized polish findings; no product-scope expansion	baseline screenshot reproducibility; interaction review; motion/polish/accessibility/performance issue classification	BOTH_TARGETS_UI_AUDIT	$emil-design-eng	P7_3_SEPARATE_AUDIT_COMMIT	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_P7_2_VISUAL_EVIDENCE_IS_MISSING_OR_AUDIT_IS_MERGED_INTO_P7_2
P7.3-002	P7.3	UI polish implementation from approved audit	P7.3-001	P7.3 Before-After-Why findings; unchanged functional contracts	polished interaction timing/focus/feedback/layout/motion/detail implementation linked one-to-one to audit findings	component/regression/accessibility/performance tests; targeted desktop/mobile visual diffs; reduced-motion behavior	BOTH_TARGETS_UI	$emil-design-eng	P7_3_SEPARATE_POLISH_COMMIT	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_POLISH_CHANGES_PRODUCT_SEMANTICS_OR_IS_NOT_TRACEABLE_TO_AUDIT
P7.3-003	P7.3	Post-polish real UI revalidation and completion record	P7.3-002	polished local/public UI; Before-After-Why audit	separate P7.3 completion record; accepted final desktop/mobile screenshot and interaction evidence	full real-browser visual matrix; keyboard/screen-reader/contrast; performance budget; local/public zero-surface recheck	BOTH_TARGETS_UI_AUDIT	$emil-design-eng	P7_3_SEPARATE_REVALIDATION_COMMIT	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_BEFORE_P7_4_IF_ANY_VISUAL_ACCESSIBILITY_OR_VARIANT_REGRESSION_REMAINS
P7.4-001	P7.4	Final integration verification and release-input freeze	P7.3-003	all P7.1-P7.3 completion records; P5 test matrix; P6 trace and risks	immutable release-input commit; full verification report; exact package allowlists	Rust/React/unit/property/integration/e2e/fake-upstream/browser/visual/capacity/migration/upgrade/rollback suites	NO_PACKAGE_BUILD production=false	NONE	P7_4_DEDICATED_COMMIT_AFTER_FULL_VERIFICATION_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_ANY_REQUIRED_TEST_OR_TRACE_ROW_IS_UNRESOLVED production=false
P7.4-002	P7.4	Build and verify Windows local release archive	P7.4-001	frozen release input; Windows allowlist; local clean-machine plan	WINDOWS_LOCAL_RELEASE_ARCHIVE; checksum; manifest; notices; local quickstart	archive has no DB/WAL/SHM/seed/real Catalog or Open data; clean Windows no-Node startup; executable-anchored package-root single DB first creation; CWD/Unicode/space/writability; restart persistence; Reset scope; upgrade; offline; secret and artifact scan	WINDOWS_LOCAL_RELEASE_ARCHIVE production=false	NONE	P7_4_DEDICATED_COMMIT_FOR_WINDOWS_PACKAGE_MANIFEST_AND_EVIDENCE	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_ARCHIVE_IS_NOT_SELF_CONTAINED_OR_SHIPS_DATABASE_OR_REAL_CATALOG_OPEN_DATA production=false
P7.4-003	P7.4	Build and verify Linux public deployment package	P7.4-001	frozen release input; Ubuntu allowlist; public operations plan	LINUX_PUBLIC_DEPLOYMENT_PACKAGE; checksum; manifest; notices; deployment runbook	archive has no DB/WAL/SHM/seed/real Catalog or Open data; clean Ubuntu empty-state install and first-start operational DB; start/health/upgrade/rollback/restore; public zero-surface; secret and artifact scan	LINUX_PUBLIC_DEPLOYMENT_PACKAGE production=false	NONE	P7_4_DEDICATED_COMMIT_FOR_LINUX_PACKAGE_MANIFEST_AND_EVIDENCE	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_PACKAGE_REQUIRES_NODE_RUNTIME_OR_CONTAINS_LOCAL_ONLY_PRIVATE_DATABASE_OR_REAL_CATALOG_OPEN_DATA production=false
P7.4-004	P7.4	Cross-package provenance secret license and content audit	P7.4-002;P7.4-003	WINDOWS_LOCAL_RELEASE_ARCHIVE; LINUX_PUBLIC_DEPLOYMENT_PACKAGE; SBOMs; allowlists	exactly-two-package audit; provenance and reproducibility evidence; P7.5 candidate-readiness record	manifest diff; hash rebuild comparison; secret scan; license/notice/SBOM closure; source-map/evidence/private-inventory/DB/seed/real-Catalog-Open deny scans	WINDOWS_LOCAL_RELEASE_ARCHIVE;LINUX_PUBLIC_DEPLOYMENT_PACKAGE production=false	NONE	P7_4_DEDICATED_COMMIT_AFTER_TWO_PACKAGE_AUDIT_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_PACKAGE_COUNT_IS_NOT_TWO_OR_CONTENT_IS_NOT_PUBLIC_SAFE_OR_SHIPS_PRELOADED_DATA production=false
P7.4-005	P7.4	Candidate clean-environment acceptance and P7.5 entry gate	P7.4-004	both audited canonical packages; deterministic validation runbooks	immutable two-candidate hashes; SBOMs; provenance; P7_5_ELIGIBLE candidate record; no final P7 completion or Release eligibility	independent clean Windows and disposable Ubuntu deterministic/fake-upstream walkthroughs; desktop/mobile public smoke; all gate hashes; package-count two; zero production mutation assertion	WINDOWS_LOCAL_RELEASE_ARCHIVE;LINUX_PUBLIC_DEPLOYMENT_PACKAGE production=false	NONE	P7_4_FINAL_DEDICATED_CANDIDATE_GATE_COMMIT	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	HARD_STOP_BEFORE_P7_5_UNLESS_TWO_CANDIDATES_ARE_HASH_FROZEN production=false production_deployment_authorized=false github_release_authorized=false
P7.5-001	P7.5	Real-world authority candidate and environment preflight	P7.4-005	P7_5_ELIGIBLE two-candidate hashes; approved live endpoint allowlist and request budget; clean Windows environment; GitHub Actions workflow; current redacted Vultr inventory and A0S findings	candidate hash lock; cross-environment serial lease; live request ledger schema; redaction rules; manual Actions gate; exact Vultr staging diff and restore plan	candidate bytes/hash unchanged; Rutgers endpoint allowlist; credentials and instance identity; healthy Windows/Actions/Vultr baselines; no unknown services; restore capability; budget arithmetic; current fwupd/systemd baseline resolved	WINDOWS_LOCAL_RELEASE_ARCHIVE;LINUX_PUBLIC_DEPLOYMENT_PACKAGE verification_only production=false	NONE	P7_5_DEDICATED_COMMIT_AFTER_LIVE_PREFLIGHT_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_LIVE_AUTHORITY_OR_BUDGET_IS_ABSENT_OR_HASH_DRIFTS_OR_VULTR_BASELINE_IS_DEGRADED production=false staging_mutation_authorized=false
P7.5-002	P7.5	Clean Windows candidate real Rutgers E2E	P7.5-001	frozen Windows candidate; clean standard-user Windows environment; bounded real Rutgers manifest	redacted Windows live E2E record and request ledger; first-run package-relative data/rbcsp.sqlite evidence; real Catalog/Open/browser WS/watch evidence	no preloaded DB or data; real Catalog initialization; dynamic course selection; search plus at least three filters; Course and Section detail; same-batch Open join; freshness lag and counters; real browser WebSocket; current-Open watch and toast; audio when unlocked and available	WINDOWS_LOCAL_RELEASE_ARCHIVE verification_only production=false	NONE	P7_5_DEDICATED_COMMIT_AFTER_WINDOWS_REAL_E2E_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_NO_REAL_OPEN_PRECONDITION_OR_JOIN_WS_WATCH_NOTIFICATION_HASH_OR_BUDGET_GATE_FAILS production=false
P7.5-003	P7.5	GitHub Actions Linux real-world tier	P7.5-002	frozen Linux candidate; manual workflow_dispatch; contents-read token; bounded real Rutgers manifest	redacted Actions Linux live E2E record and request ledger; installed-candidate systemd/Caddy HTTPS/WSS evidence	single Ubuntu job installs candidate bytes without source rebuild; real Catalog/Open desktop/mobile; multi-browser centralized poller; reload new session; Saved views history Reset zero-surface; no OIDC deployment Release Vultr or Cloudflare permission	LINUX_PUBLIC_DEPLOYMENT_PACKAGE verification_only production=false	NONE	P7_5_DEDICATED_COMMIT_AFTER_GHA_LINUX_REAL_E2E_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_AUTO_TRIGGER_MATRIX_RETRY_EXCESS_PERMISSION_ENVIRONMENT_BLOCKED_OR_LIVE_GATE_FAILS production=false
P7.5-004	P7.5	Vultr staging real-world tier and baseline restoration	P7.5-003	frozen Linux candidate; exact named-instance staging mutation authorization; healthy immediate preflight; verified restore point; test-only Caddy CA and client hosts mapping	redacted Vultr staging desktop/mobile live E2E; centralized poller evidence; restore-or-reinstall record; residual and baseline audit	verify restore point before mutation; install same hash; real Caddy HTTPS/WSS and Rutgers flows; no production DNS Cloudflare ACME or traffic; test then restore snapshot or approved reinstall; post-test non-production baseline matches	LINUX_PUBLIC_DEPLOYMENT_PACKAGE verification_only staging_only production=false	NONE	P7_5_DEDICATED_COMMIT_AFTER_VULTR_E2E_AND_BASELINE_RESTORE_PASS	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	STOP_IF_STAGING_MUTATION_AUTHORIZATION_RESTORE_POINT_BASELINE_TLS_E2E_OR_RESTORE_FAILS production=false
P7.5-005	P7.5	Cross-environment reconciliation and final P7 gate	P7.5-002;P7.5-003;P7.5-004	Windows Actions Vultr redacted records; identical candidate hashes; request ledgers; Vultr restoration evidence	P7_REAL_WORLD_E2E_PASS; final P7 completion record; exactly-two-package hash statement; eligibility to request separate GitHub Release authorization; production remains unauthorized	three-environment same-hash proof; mandatory assertions all PASS; request budgets; no raw body or secret; package cardinality two; Vultr baseline restored; Release and production authorization remain false	WINDOWS_LOCAL_RELEASE_ARCHIVE;LINUX_PUBLIC_DEPLOYMENT_PACKAGE verification_only production=false	NONE	P7_5_FINAL_DEDICATED_COMPLETION_COMMIT	PUSH_TO_P6_REVIEW_APPROVED_P7_BRANCH_ONLY	HARD_STOP_IF_ANY_MANDATORY_ASSERTION_IS_FAIL_BLOCKED_SKIPPED_OR_UNEXPLAINED_INCONCLUSIVE production=false production_deployment_authorized=false github_release_authorized=false
