deny_id	capability	surface	forbidden_public_surface	allowed_exception	status	validation_id	p7_task_id
P4-D-PERSISTENT_HISTORY-BUNDLE	PERSISTENT_HISTORY	BUNDLE	No public JavaScript CSS asset chunk source map embedded string or generated client may contain the durable per-user notification episode watch or action history feature surface.	Current-page alert aggregation is allowed; bounded service diagnostics and refresh counters are operational data and not user history.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_HISTORY-BUNDLE	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_HISTORY-PACKAGE	PERSISTENT_HISTORY	PACKAGE	No public executable migration template config sample documentation dependency manifest or release payload may ship durable per-user notification episode watch or action history.	Current-page alert aggregation is allowed; bounded service diagnostics and refresh counters are operational data and not user history.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_HISTORY-PACKAGE	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_SELECTION-SOURCE	PERSISTENT_SELECTION	SOURCE	No public-build-reachable module symbol import adapter feature flag or generated type may implement persistent selected SectionKeys or restored chooser state.	Up to nine selected SectionKeys are allowed only in current-page memory and start empty on every top-level load.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_SELECTION-SOURCE	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_SELECTION-DOM	PERSISTENT_SELECTION	DOM	No rendered or hidden control label aria text data attribute test hook or custom element may expose persistent selected SectionKeys or restored chooser state.	Up to nine selected SectionKeys are allowed only in current-page memory and start empty on every top-level load.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_SELECTION-DOM	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_SELECTION-ROUTE	PERSISTENT_SELECTION	ROUTE	No browser route link redirect route loader or navigation state may expose or restore persistent selected SectionKeys or restored chooser state.	Up to nine selected SectionKeys are allowed only in current-page memory and start empty on every top-level load.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_SELECTION-ROUTE	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_SELECTION-API	PERSISTENT_SELECTION	API	No public HTTP endpoint WebSocket command field parameter error namespace or schema may expose persistent selected SectionKeys or restored chooser state.	Up to nine selected SectionKeys are allowed only in current-page memory and start empty on every top-level load.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_SELECTION-API	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_SELECTION-STORAGE	PERSISTENT_SELECTION	STORAGE	No service table column migration browser cookie localStorage sessionStorage IndexedDB cache key or durable record may store persistent selected SectionKeys or restored chooser state.	Up to nine selected SectionKeys are allowed only in current-page memory and start empty on every top-level load.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_SELECTION-STORAGE	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_SELECTION-I18N	PERSISTENT_SELECTION	I18N	No reachable public message key namespace label help text or error copy may advertise persistent selected SectionKeys or restored chooser state.	Up to nine selected SectionKeys are allowed only in current-page memory and start empty on every top-level load.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_SELECTION-I18N	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_SELECTION-BUNDLE	PERSISTENT_SELECTION	BUNDLE	No public JavaScript CSS asset chunk source map embedded string or generated client may contain the persistent selected SectionKeys or restored chooser state feature surface.	Up to nine selected SectionKeys are allowed only in current-page memory and start empty on every top-level load.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_SELECTION-BUNDLE	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_SELECTION-PACKAGE	PERSISTENT_SELECTION	PACKAGE	No public executable migration template config sample documentation dependency manifest or release payload may ship persistent selected SectionKeys or restored chooser state.	Up to nine selected SectionKeys are allowed only in current-page memory and start empty on every top-level load.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_SELECTION-PACKAGE	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_ACTIVE_WATCH-SOURCE	PERSISTENT_ACTIVE_WATCH	SOURCE	No public-build-reachable module symbol import adapter feature flag or generated type may implement persistent active watch flags automatic rewatch or subscription restoration.	Connection-bound watch maps and explicit start are allowed; disconnect page end timeout or process exit clears them and transport reconnect does not rewatch.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_ACTIVE_WATCH-SOURCE	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_ACTIVE_WATCH-DOM	PERSISTENT_ACTIVE_WATCH	DOM	No rendered or hidden control label aria text data attribute test hook or custom element may expose persistent active watch flags automatic rewatch or subscription restoration.	Connection-bound watch maps and explicit start are allowed; disconnect page end timeout or process exit clears them and transport reconnect does not rewatch.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_ACTIVE_WATCH-DOM	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_ACTIVE_WATCH-ROUTE	PERSISTENT_ACTIVE_WATCH	ROUTE	No browser route link redirect route loader or navigation state may expose or restore persistent active watch flags automatic rewatch or subscription restoration.	Connection-bound watch maps and explicit start are allowed; disconnect page end timeout or process exit clears them and transport reconnect does not rewatch.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_ACTIVE_WATCH-ROUTE	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_ACTIVE_WATCH-API	PERSISTENT_ACTIVE_WATCH	API	No public HTTP endpoint WebSocket command field parameter error namespace or schema may expose persistent active watch flags automatic rewatch or subscription restoration.	Connection-bound watch maps and explicit start are allowed; disconnect page end timeout or process exit clears them and transport reconnect does not rewatch.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_ACTIVE_WATCH-API	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_ACTIVE_WATCH-STORAGE	PERSISTENT_ACTIVE_WATCH	STORAGE	No service table column migration browser cookie localStorage sessionStorage IndexedDB cache key or durable record may store persistent active watch flags automatic rewatch or subscription restoration.	Connection-bound watch maps and explicit start are allowed; disconnect page end timeout or process exit clears them and transport reconnect does not rewatch.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_ACTIVE_WATCH-STORAGE	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_ACTIVE_WATCH-I18N	PERSISTENT_ACTIVE_WATCH	I18N	No reachable public message key namespace label help text or error copy may advertise persistent active watch flags automatic rewatch or subscription restoration.	Connection-bound watch maps and explicit start are allowed; disconnect page end timeout or process exit clears them and transport reconnect does not rewatch.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_ACTIVE_WATCH-I18N	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_ACTIVE_WATCH-BUNDLE	PERSISTENT_ACTIVE_WATCH	BUNDLE	No public JavaScript CSS asset chunk source map embedded string or generated client may contain the persistent active watch flags automatic rewatch or subscription restoration feature surface.	Connection-bound watch maps and explicit start are allowed; disconnect page end timeout or process exit clears them and transport reconnect does not rewatch.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_ACTIVE_WATCH-BUNDLE	P7-PUBLIC-ZERO-SURFACE
P4-D-PERSISTENT_ACTIVE_WATCH-PACKAGE	PERSISTENT_ACTIVE_WATCH	PACKAGE	No public executable migration template config sample documentation dependency manifest or release payload may ship persistent active watch flags automatic rewatch or subscription restoration.	Connection-bound watch maps and explicit start are allowed; disconnect page end timeout or process exit clears them and transport reconnect does not rewatch.	PUBLIC_ZERO_SURFACE	P4-Z-PERSISTENT_ACTIVE_WATCH-PACKAGE	P7-PUBLIC-ZERO-SURFACE
P4-D-EMAIL-SOURCE	EMAIL	SOURCE	No public-build-reachable module symbol import adapter feature flag or generated type may implement email SMTP SendGrid mail contact verification unsubscribe token template or dispatcher.	Generic transport backoff logging and rate-limit primitives may remain only when they have a non-mail consumer and no mail types strings or configuration.	PUBLIC_ZERO_SURFACE	P4-Z-EMAIL-SOURCE	P7-PUBLIC-ZERO-SURFACE
P4-D-EMAIL-DOM	EMAIL	DOM	No rendered or hidden control label aria text data attribute test hook or custom element may expose email SMTP SendGrid mail contact verification unsubscribe token template or dispatcher.	Generic transport backoff logging and rate-limit primitives may remain only when they have a non-mail consumer and no mail types strings or configuration.	PUBLIC_ZERO_SURFACE	P4-Z-EMAIL-DOM	P7-PUBLIC-ZERO-SURFACE
P4-D-EMAIL-ROUTE	EMAIL	ROUTE	No browser route link redirect route loader or navigation state may expose or restore email SMTP SendGrid mail contact verification unsubscribe token template or dispatcher.	Generic transport backoff logging and rate-limit primitives may remain only when they have a non-mail consumer and no mail types strings or configuration.	PUBLIC_ZERO_SURFACE	P4-Z-EMAIL-ROUTE	P7-PUBLIC-ZERO-SURFACE
P4-D-EMAIL-API	EMAIL	API	No public HTTP endpoint WebSocket command field parameter error namespace or schema may expose email SMTP SendGrid mail contact verification unsubscribe token template or dispatcher.	Generic transport backoff logging and rate-limit primitives may remain only when they have a non-mail consumer and no mail types strings or configuration.	PUBLIC_ZERO_SURFACE	P4-Z-EMAIL-API	P7-PUBLIC-ZERO-SURFACE
P4-D-EMAIL-STORAGE	EMAIL	STORAGE	No service table column migration browser cookie localStorage sessionStorage IndexedDB cache key or durable record may store email SMTP SendGrid mail contact verification unsubscribe token template or dispatcher.	Generic transport backoff logging and rate-limit primitives may remain only when they have a non-mail consumer and no mail types strings or configuration.	PUBLIC_ZERO_SURFACE	P4-Z-EMAIL-STORAGE	P7-PUBLIC-ZERO-SURFACE
P4-D-EMAIL-I18N	EMAIL	I18N	No reachable public message key namespace label help text or error copy may advertise email SMTP SendGrid mail contact verification unsubscribe token template or dispatcher.	Generic transport backoff logging and rate-limit primitives may remain only when they have a non-mail consumer and no mail types strings or configuration.	PUBLIC_ZERO_SURFACE	P4-Z-EMAIL-I18N	P7-PUBLIC-ZERO-SURFACE
P4-D-EMAIL-BUNDLE	EMAIL	BUNDLE	No public JavaScript CSS asset chunk source map embedded string or generated client may contain the email SMTP SendGrid mail contact verification unsubscribe token template or dispatcher feature surface.	Generic transport backoff logging and rate-limit primitives may remain only when they have a non-mail consumer and no mail types strings or configuration.	PUBLIC_ZERO_SURFACE	P4-Z-EMAIL-BUNDLE	P7-PUBLIC-ZERO-SURFACE
P4-D-EMAIL-PACKAGE	EMAIL	PACKAGE	No public executable migration template config sample documentation dependency manifest or release payload may ship email SMTP SendGrid mail contact verification unsubscribe token template or dispatcher.	Generic transport backoff logging and rate-limit primitives may remain only when they have a non-mail consumer and no mail types strings or configuration.	PUBLIC_ZERO_SURFACE	P4-Z-EMAIL-PACKAGE	P7-PUBLIC-ZERO-SURFACE
P4-D-DISCORD-SOURCE	DISCORD	SOURCE	No public-build-reachable module symbol import adapter feature flag or generated type may implement Discord bot webhook OAuth notification or integration.	No exception; browser WebSocket fanout is not Discord.	PUBLIC_ZERO_SURFACE	P4-Z-DISCORD-SOURCE	P7-PUBLIC-ZERO-SURFACE
P4-D-DISCORD-DOM	DISCORD	DOM	No rendered or hidden control label aria text data attribute test hook or custom element may expose Discord bot webhook OAuth notification or integration.	No exception; browser WebSocket fanout is not Discord.	PUBLIC_ZERO_SURFACE	P4-Z-DISCORD-DOM	P7-PUBLIC-ZERO-SURFACE
P4-D-DISCORD-ROUTE	DISCORD	ROUTE	No browser route link redirect route loader or navigation state may expose or restore Discord bot webhook OAuth notification or integration.	No exception; browser WebSocket fanout is not Discord.	PUBLIC_ZERO_SURFACE	P4-Z-DISCORD-ROUTE	P7-PUBLIC-ZERO-SURFACE
P4-D-DISCORD-API	DISCORD	API	No public HTTP endpoint WebSocket command field parameter error namespace or schema may expose Discord bot webhook OAuth notification or integration.	No exception; browser WebSocket fanout is not Discord.	PUBLIC_ZERO_SURFACE	P4-Z-DISCORD-API	P7-PUBLIC-ZERO-SURFACE
P4-D-DISCORD-STORAGE	DISCORD	STORAGE	No service table column migration browser cookie localStorage sessionStorage IndexedDB cache key or durable record may store Discord bot webhook OAuth notification or integration.	No exception; browser WebSocket fanout is not Discord.	PUBLIC_ZERO_SURFACE	P4-Z-DISCORD-STORAGE	P7-PUBLIC-ZERO-SURFACE
P4-D-DISCORD-I18N	DISCORD	I18N	No reachable public message key namespace label help text or error copy may advertise Discord bot webhook OAuth notification or integration.	No exception; browser WebSocket fanout is not Discord.	PUBLIC_ZERO_SURFACE	P4-Z-DISCORD-I18N	P7-PUBLIC-ZERO-SURFACE
P4-D-DISCORD-BUNDLE	DISCORD	BUNDLE	No public JavaScript CSS asset chunk source map embedded string or generated client may contain the Discord bot webhook OAuth notification or integration feature surface.	No exception; browser WebSocket fanout is not Discord.	PUBLIC_ZERO_SURFACE	P4-Z-DISCORD-BUNDLE	P7-PUBLIC-ZERO-SURFACE
P4-D-DISCORD-PACKAGE	DISCORD	PACKAGE	No public executable migration template config sample documentation dependency manifest or release payload may ship Discord bot webhook OAuth notification or integration.	No exception; browser WebSocket fanout is not Discord.	PUBLIC_ZERO_SURFACE	P4-Z-DISCORD-PACKAGE	P7-PUBLIC-ZERO-SURFACE
P4-D-SHARE_LINKS-SOURCE	SHARE_LINKS	SOURCE	No public-build-reachable module symbol import adapter feature flag or generated type may implement named Share links filter URL restoration encoded filter state or share workflow.	A stable direct section navigation URL may be copied; it carries only the SectionKey and does not restore filters or claim to be a Share feature.	PUBLIC_ZERO_SURFACE	P4-Z-SHARE_LINKS-SOURCE	P7-PUBLIC-ZERO-SURFACE
P4-D-SHARE_LINKS-DOM	SHARE_LINKS	DOM	No rendered or hidden control label aria text data attribute test hook or custom element may expose named Share links filter URL restoration encoded filter state or share workflow.	A stable direct section navigation URL may be copied; it carries only the SectionKey and does not restore filters or claim to be a Share feature.	PUBLIC_ZERO_SURFACE	P4-Z-SHARE_LINKS-DOM	P7-PUBLIC-ZERO-SURFACE
P4-D-SHARE_LINKS-ROUTE	SHARE_LINKS	ROUTE	No browser route link redirect route loader or navigation state may expose or restore named Share links filter URL restoration encoded filter state or share workflow.	A stable direct section navigation URL may be copied; it carries only the SectionKey and does not restore filters or claim to be a Share feature.	PUBLIC_ZERO_SURFACE	P4-Z-SHARE_LINKS-ROUTE	P7-PUBLIC-ZERO-SURFACE
P4-D-SHARE_LINKS-API	SHARE_LINKS	API	No public HTTP endpoint WebSocket command field parameter error namespace or schema may expose named Share links filter URL restoration encoded filter state or share workflow.	A stable direct section navigation URL may be copied; it carries only the SectionKey and does not restore filters or claim to be a Share feature.	PUBLIC_ZERO_SURFACE	P4-Z-SHARE_LINKS-API	P7-PUBLIC-ZERO-SURFACE
P4-D-SHARE_LINKS-STORAGE	SHARE_LINKS	STORAGE	No service table column migration browser cookie localStorage sessionStorage IndexedDB cache key or durable record may store named Share links filter URL restoration encoded filter state or share workflow.	A stable direct section navigation URL may be copied; it carries only the SectionKey and does not restore filters or claim to be a Share feature.	PUBLIC_ZERO_SURFACE	P4-Z-SHARE_LINKS-STORAGE	P7-PUBLIC-ZERO-SURFACE
P4-D-SHARE_LINKS-I18N	SHARE_LINKS	I18N	No reachable public message key namespace label help text or error copy may advertise named Share links filter URL restoration encoded filter state or share workflow.	A stable direct section navigation URL may be copied; it carries only the SectionKey and does not restore filters or claim to be a Share feature.	PUBLIC_ZERO_SURFACE	P4-Z-SHARE_LINKS-I18N	P7-PUBLIC-ZERO-SURFACE
P4-D-SHARE_LINKS-BUNDLE	SHARE_LINKS	BUNDLE	No public JavaScript CSS asset chunk source map embedded string or generated client may contain the named Share links filter URL restoration encoded filter state or share workflow feature surface.	A stable direct section navigation URL may be copied; it carries only the SectionKey and does not restore filters or claim to be a Share feature.	PUBLIC_ZERO_SURFACE	P4-Z-SHARE_LINKS-BUNDLE	P7-PUBLIC-ZERO-SURFACE
P4-D-SHARE_LINKS-PACKAGE	SHARE_LINKS	PACKAGE	No public executable migration template config sample documentation dependency manifest or release payload may ship named Share links filter URL restoration encoded filter state or share workflow.	A stable direct section navigation URL may be copied; it carries only the SectionKey and does not restore filters or claim to be a Share feature.	PUBLIC_ZERO_SURFACE	P4-Z-SHARE_LINKS-PACKAGE	P7-PUBLIC-ZERO-SURFACE
P4-D-WAITLIST-SOURCE	WAITLIST	SOURCE	No public-build-reachable module symbol import adapter feature flag or generated type may implement waitlist filter alert preference canonical status or inferred waitlist state.	Raw unrecognized Rutgers values may be retained as provenance or UNKNOWN; CLOSED and other hints never become WAITLIST.	PUBLIC_ZERO_SURFACE	P4-Z-WAITLIST-SOURCE	P7-PUBLIC-ZERO-SURFACE
P4-D-WAITLIST-DOM	WAITLIST	DOM	No rendered or hidden control label aria text data attribute test hook or custom element may expose waitlist filter alert preference canonical status or inferred waitlist state.	Raw unrecognized Rutgers values may be retained as provenance or UNKNOWN; CLOSED and other hints never become WAITLIST.	PUBLIC_ZERO_SURFACE	P4-Z-WAITLIST-DOM	P7-PUBLIC-ZERO-SURFACE
P4-D-WAITLIST-ROUTE	WAITLIST	ROUTE	No browser route link redirect route loader or navigation state may expose or restore waitlist filter alert preference canonical status or inferred waitlist state.	Raw unrecognized Rutgers values may be retained as provenance or UNKNOWN; CLOSED and other hints never become WAITLIST.	PUBLIC_ZERO_SURFACE	P4-Z-WAITLIST-ROUTE	P7-PUBLIC-ZERO-SURFACE
P4-D-WAITLIST-API	WAITLIST	API	No public HTTP endpoint WebSocket command field parameter error namespace or schema may expose waitlist filter alert preference canonical status or inferred waitlist state.	Raw unrecognized Rutgers values may be retained as provenance or UNKNOWN; CLOSED and other hints never become WAITLIST.	PUBLIC_ZERO_SURFACE	P4-Z-WAITLIST-API	P7-PUBLIC-ZERO-SURFACE
P4-D-WAITLIST-STORAGE	WAITLIST	STORAGE	No service table column migration browser cookie localStorage sessionStorage IndexedDB cache key or durable record may store waitlist filter alert preference canonical status or inferred waitlist state.	Raw unrecognized Rutgers values may be retained as provenance or UNKNOWN; CLOSED and other hints never become WAITLIST.	PUBLIC_ZERO_SURFACE	P4-Z-WAITLIST-STORAGE	P7-PUBLIC-ZERO-SURFACE
P4-D-WAITLIST-I18N	WAITLIST	I18N	No reachable public message key namespace label help text or error copy may advertise waitlist filter alert preference canonical status or inferred waitlist state.	Raw unrecognized Rutgers values may be retained as provenance or UNKNOWN; CLOSED and other hints never become WAITLIST.	PUBLIC_ZERO_SURFACE	P4-Z-WAITLIST-I18N	P7-PUBLIC-ZERO-SURFACE
P4-D-WAITLIST-BUNDLE	WAITLIST	BUNDLE	No public JavaScript CSS asset chunk source map embedded string or generated client may contain the waitlist filter alert preference canonical status or inferred waitlist state feature surface.	Raw unrecognized Rutgers values may be retained as provenance or UNKNOWN; CLOSED and other hints never become WAITLIST.	PUBLIC_ZERO_SURFACE	P4-Z-WAITLIST-BUNDLE	P7-PUBLIC-ZERO-SURFACE
P4-D-WAITLIST-PACKAGE	WAITLIST	PACKAGE	No public executable migration template config sample documentation dependency manifest or release payload may ship waitlist filter alert preference canonical status or inferred waitlist state.	Raw unrecognized Rutgers values may be retained as provenance or UNKNOWN; CLOSED and other hints never become WAITLIST.	PUBLIC_ZERO_SURFACE	P4-Z-WAITLIST-PACKAGE	P7-PUBLIC-ZERO-SURFACE
