row_id	input_ref	capability	disposition	public_contract	reason	consumers	validation_ids	p7_task_ids
P4-B032	P2-06-FLT-S07;P3-07-§7	FILTERING FLT-S07 Meeting campus location	INHERIT_SHARED	Exact multi-select OR sourced from meeting occurrence; unknown is UNCERTAIN.	Part of the approved 22-row FilterSchema.	FilterSchema; occurrence query; UI	P4-T-FLT-S07	P7-SHARED-QUERY;P7-SHARED-UI
P4-B033	P2-06-FLT-S08;P3-07-§7	FILTERING FLT-S08 Building room	INHERIT_SHARED	Exact multi-select OR over structured building or room code; unknown is UNCERTAIN.	Part of the approved 22-row FilterSchema.	FilterSchema; occurrence query; UI	P4-T-FLT-S08	P7-SHARED-QUERY;P7-SHARED-UI
P4-B034	P2-06-FLT-S09;P3-07-§7	FILTERING FLT-S09 Exam code	INHERIT_SHARED	Exact multi-select OR over structured exam code or text without inventing an exam occurrence; unknown is UNCERTAIN.	Part of the approved 22-row FilterSchema.	FilterSchema; section query; UI	P4-T-FLT-S09	P7-SHARED-QUERY;P7-SHARED-UI
P4-B035	P2-06-FLT-S10;P3-07-§7	FILTERING FLT-S10 Special permission	INHERIT_SHARED	Any required not-required over structured add-permission data; unknown is UNCERTAIN.	Part of the approved 22-row FilterSchema.	FilterSchema; section query; UI	P4-T-FLT-S10	P7-SHARED-QUERY;P7-SHARED-UI
P4-B036	P2-06-FLT-S11;P3-07-§7	FILTERING FLT-S11 Eligibility major minor honors	INHERIT_SHARED	Structured exact filters use OR within a dimension and AND across dimensions; missing or uninterpretable data is UNCERTAIN.	Part of the approved 22-row FilterSchema.	FilterSchema; section query; UI	P4-T-FLT-S11	P7-SHARED-QUERY;P7-SHARED-UI
P4-B037	P2-06-§6;P3-07-§9	COURSE_SECTION_NAV course-centered results and variants	INHERIT_SHARED	Default search is course-centered; preserve variants; show MATCH and UNCERTAIN sections separately plus explicit other-section reasons.	This is the approved default information architecture.	course API; React cards; responsive UI	P4-T-COURSE-CENTERED	P7-SHARED-UI;P7-SHARED-QUERY
P4-B038	P2-06-§6;P3-07-§8-§9	SECTION_DETAIL independent search and direct detail	INHERIT_SHARED	Provide section search and reload-safe /sections/:term/:campus/:index detail; copying that navigation URL is not a Share-links feature and never restores filters.	Independent section access is core while named sharing is excluded.	section API; router fallback; React detail	P4-T-SECTION-DETAIL-DIRECT	P7-SHARED-UI;P7-SHARED-QUERY
P4-B039	P2-06-§7.1	SUBSCRIPTIONS current-page selected sections	PUBLIC_MODIFY	Allow up to nine selected SectionKeys in current page memory only; every top-level document load starts empty; no browser persistence.	Public sessions are ephemeral while selection is still needed to start watches.	public session adapter; chooser UI; watch start	P4-T-PUBLIC-SELECTION-EPHEMERAL	P7-PUBLIC-SESSION;P7-SHARED-WATCH
P4-B040	P2-06-§8;P3-07-§12.3	SUBSCRIPTIONS active live watch lifecycle	INHERIT_SHARED	An explicit user gesture starts each watch; server validates composite keys; stop disconnect heartbeat timeout process exit and page end clear active mappings; transport reconnect never re-watches automatically.	Active watch is intentionally non-persistent in both packages.	WebSocket runtime; session UI; Open fanout	P4-T-WATCH-LIFECYCLE	P7-SHARED-WATCH
P4-B041	P2-06-§8	SUBSCRIPTIONS centralized WebSocket fanout	INHERIT_SHARED	Maintain connection-to-sections and section-to-connections maps; one target poll fans out valid observations; exact frame replay is idempotent but later pulls are not suppressed.	Browser count must not increase upstream demand.	public WebSocket endpoint; watch runtime; UI	P4-T-WS-FANOUT	P7-SHARED-WATCH;P7-PUBLIC-RUNTIME
P4-B042	P2-06-§8;P3-07-§12.3	SUBSCRIPTIONS maximum nine selected sections	INHERIT_SHARED	Reject the tenth selected section with a stable localized error; the limit is per current page session and never changes scheduler request multiplicity.	The user-approved product cap applies to local and public watch UX.	selection UI; watch API; tests	P4-T-WATCH-MAX-NINE	P7-SHARED-WATCH;P7-SHARED-UI
P4-B043	P2-06-§9.2	AUDIO_NOTIFICATIONS toast alert aggregation	INHERIT_SHARED	A new OpenEpisode creates an accessible alert; later same-episode observations update timestamp and count rather than unlimited toast stacking; closing a toast does not stop watch or confirm audio.	Visual feedback is required even when audio is silent or blocked.	React alert center; watch frames; a11y	P4-T-TOAST-EPISODE	P7-SHARED-UI;P7-SHARED-WATCH
P4-B044	P2-06-§9-§10;P3-23a-§7	AUDIO_NOTIFICATIONS ONE_SHOT Max audible notifications	INHERIT_SHARED	Each distinct valid Open section observation attempts one cue until per-section successful-audible cap; default 3 any positive integer no product upper limit; cap makes later cues silent without stopping watch toast or state; explicit restart or reset-count clears count.	P3 froze the distinction between observations episodes and audio.	browser mixer; alert state; watch UI	P4-T-ONE-SHOT-MAX-AUDIBLE	P7-SHARED-UI;P7-SHARED-WATCH
P4-B045	P2-06-§10.3;P3-23a-§7	AUDIO_NOTIFICATIONS CONTINUOUS alarm confirmation	INHERIT_SHARED	New OpenEpisode rings for default 10 minutes or configured positive duration or UNLIMITED; per-section or all confirmation stops acknowledged episodes; reliable Closed then Open is required to re-arm; Max audible does not apply.	This is the approved alarm semantic and must be identical across packages.	browser mixer; episode state; alert UI	P4-T-CONTINUOUS-ALARM	P7-SHARED-UI;P7-SHARED-WATCH
P4-B046	P2-06-§10;P3-23a-§8	AUDIO_NOTIFICATIONS browser-only bounded mixer	INHERIT_SHARED	Only the connected unlocked capable WebUI plays a generic sound through one bounded mixer; blocked or failed AudioContext is visible and does not consume a cue; no promise while page is closed locked or suspended.	The product deliberately excludes native and system notification channels.	React audio service; accessibility UI	P4-T-BROWSER-AUDIO	P7-SHARED-UI
P4-B047	P2-06-§7.1	PERSISTENCE current-page alert and watch history	PUBLIC_MODIFY	Keep only current-page episode alert and action state in memory; discard it on top-level reload new tab service reconnect that ends watch or page close; no public history API or durable records.	Public WebUI must open as a fresh user experience while still explaining current-session events.	public session adapter; React alert list	P4-T-PUBLIC-HISTORY-EPHEMERAL	P7-PUBLIC-SESSION;P7-SHARED-UI
P4-B048	P2-06-§12;P3-07-§9.3	I18N en-US zh-CN complete product shell	INHERIT_SHARED	Maintain en-US and zh-CN canonical catalogs with en-US fallback; html lang formats plurals a11y labels filters errors refresh Open watch and audio have key parity; Rutgers raw text remains untranslated.	At least English and Simplified Chinese are approved shared capabilities.	React i18n; API error keys; docs	P4-T-I18N-KEY-PARITY	P7-SHARED-I18N;P7-SHARED-UI
P4-B049	P2-06-§7.1;§12	I18N public locale initialization	PUBLIC_MODIFY	Every top-level page detects browser or system preferences; a page may switch locale in memory; reload does not persist the choice.	The public product must start fresh and follow system language.	public session bootstrap; React i18n	P4-T-PUBLIC-LOCALE-EPHEMERAL	P7-PUBLIC-SESSION;P7-SHARED-I18N
P4-B050	P2-06-§7.1	PERSISTENCE public audio and filter settings	PUBLIC_MODIFY	Filters selection volume mode duration Max audible and other ordinary settings use product defaults on every top-level load and may change only in current page memory.	The user explicitly rejected public persistence for ordinary user state.	public session adapter; filter store; audio UI	P4-T-PUBLIC-DEFAULT-STATE	P7-PUBLIC-SESSION;P7-SHARED-UI
P4-B051	workflow-§13;P2-06-§7.1	PERSISTENCE public session boundary	PUBLIC_MODIFY	Create a new anonymous ephemeral UserSession for first open new tab and reload; no account contact device token or stable user identity; WebSocket state is connection-bound.	This is the central public delta from the local one-click baseline.	public bootstrap; HTTP session boundary; WebSocket	P4-T-PUBLIC-SESSION-NEW-PAGE	P7-PUBLIC-SESSION;P7-PUBLIC-RUNTIME
P4-B052	P3-07-§8	API stable typed product surfaces	INHERIT_SHARED	Expose bootstrap dictionaries course search section search and detail Open status plus versioned WebSocket watch using stable error codes and localized message keys; never leak SQL raw upstream bodies absolute paths or secrets.	Public deployment adds security controls but does not fork product contracts.	public HTTP server; React client; tests	P4-T-PUBLIC-API-CONTRACT	P7-SHARED-DOMAIN;P7-PUBLIC-RUNTIME
P4-B053	P2-03-CAP-I03;P3-07-§9.2	PUBLIC_RUNTIME health readiness and truthful degradation	PUBLIC_MODIFY	Liveness proves process health; readiness reports catalog availability Open checkpoint lag circuit and partial-target states without exposing internals; degraded service remains queryable from LKG where safe.	A long-running public service needs operator-visible state distinct from user errors.	public runtime; systemd; monitoring; status UI	P4-T-PUBLIC-READINESS	P7-PUBLIC-RUNTIME;P7-PUBLIC-OPS
P4-B054	P2-03-CAP-I04;P3-23a-§6	PUBLIC_RUNTIME structured redacted logs metrics and retention	PUBLIC_MODIFY	Emit structured redacted request scheduler circuit readiness and lifecycle events; rotate logs; keep public service-day counters and bounded diagnostic observations; never log raw bodies URLs with secrets or personal state.	Public operations require service-wide diagnostics without recreating user history.	tracing; metrics; operations	P4-T-PUBLIC-OBSERVABILITY	P7-PUBLIC-OPS
P4-B055	P3-07-§4.2;workflow-§13	PUBLIC_RUNTIME network and security boundary	PUBLIC_MODIFY	Listen on private service socket or loopback behind the reverse proxy; trust only reviewed proxy headers; apply request body rate and origin controls; inject secrets through environment or credential files; ordinary product API exposes no admin mutation surface.	The local nonce and loopback assumptions do not transfer unchanged to Internet deployment.	public entrypoint; reverse proxy; systemd	P4-T-PUBLIC-SECURITY-BOUNDARY	P7-PUBLIC-RUNTIME;P7-PUBLIC-OPS
P4-B056	workflow-§13	PUBLIC_RUNTIME Linux Rust entrypoint	PUBLIC_MODIFY	Build bcsp-server from the same workspace and shared domain; serve embedded versioned React assets and shared API; do not ship Windows launcher behavior or a second business implementation.	The public package requires Linux lifecycle integration while preserving one code baseline.	public entry crate; Linux artifact	P4-T-LINUX-ENTRYPOINT	P7-PUBLIC-RUNTIME;P7-PUBLIC-PACKAGE
P4-B057	workflow-§13;P3-07-§5;P6-REVIEW-LOCAL-STORAGE-AMENDMENT-001	PUBLIC_RUNTIME centralized database	PUBLIC_MODIFY	On first start create one service-owned schema-only operational database at /var/lib/bcsp/rbcsp.sqlite from public-compatible versioned migrations; its logical Catalog Open diagnostics and operational domains may then be populated at runtime, but the public migration graph contains no LOCAL_ONLY personal tables or migrations.	The public service needs durable shared operational state outside the release archive, while anonymous sessions must never acquire durable personal state.	public storage adapter; migration graph; backup tools; runtime	P4-T-PUBLIC-STORAGE-BOUNDARY	P7-PUBLIC-RUNTIME;P7-PUBLIC-OPS
P4-B058	workflow-§13	PUBLIC_OPS systemd lifecycle	PUBLIC_MODIFY	Provide a hardened systemd unit with dedicated non-root user explicit writable paths restart policy dependency ordering resource limits and clean shutdown; installation remains a later P7 artifact and production use needs separate authorization.	Linux service operation is public-package-only.	systemd unit; install and rollback docs	P4-T-SYSTEMD-PLAN	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE
P4-B059	workflow-§13	PUBLIC_OPS Caddy HTTPS and reverse proxy	PUBLIC_MODIFY	Plan Caddy TLS termination security headers compression size and timeout limits WebSocket proxying and health routing; domain credentials and production DNS remain outside P4 and require later authorization.	HTTPS is required for public browser audio and secure transport, but P4 cannot mutate production.	Caddy config template; deployment docs	P4-T-CADDY-HTTPS-PLAN	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE
P4-B060	workflow-§13	PUBLIC_OPS backup upgrade restore rollback	PUBLIC_MODIFY	Specify pre-upgrade database backup migration compatibility health verification atomic binary and asset switch restore drill and rollback; user-facing service must not claim recoverability until P7 tests it.	A public long-running store needs an operational lifecycle absent from the Windows archive.	operations scripts and docs; release validation	P4-T-PUBLIC-RECOVERY-PLAN	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE
P4-B061	P2-03-CAP-017;workflow-§13	SHARED_UI desktop mobile responsive accessibility	INHERIT_SHARED	One React product shell supports desktop and mobile layouts keyboard screen reader reduced motion loading empty stale error disabled and partial states; public capability flags remove local-only surfaces at build time.	Both packages serve the same ordinary-user experience and P7.2/P7.3 remain independent phases.	React UI; browser tests; visual tests	P4-T-RESPONSIVE-A11Y	P7-SHARED-UI
P4-B062	P3-23a-§8	OPEN_POLLING latency wording	INHERIT_SHARED	Display BCSP first observed Open and actual freshness and scheduler lag; validate <=1 second from valid observation through server fanout; do not promise real Rutgers seat change notification within 30 seconds.	Upstream publication and cache delay are unknown and outside BCSP control.	status UI; alert UI; docs	P4-T-LATENCY-TRUTH	P7-SHARED-OPEN;P7-SHARED-UI
P4-B063	P2-06-§11;workflow-§13	CATALOG_REFRESH ordinary browser refresh isolation	PUBLIC_MODIFY	Browser reload query navigation and status refresh read current service state and never trigger immediate Rutgers Catalog or Open requests; only the centralized scheduler controls origin work.	Public request volume must be independent of visitor traffic.	public HTTP adapter; scheduler boundary	P4-T-NO-BROWSER-ORIGIN-AMPLIFICATION	P7-PUBLIC-RUNTIME
P4-B064	P3-07-§13;P6-REVIEW-LOCAL-STORAGE-AMENDMENT-001	LOCAL_ONLY Windows RBCSP.exe BAT launcher and package-relative database	PUBLIC_EXCLUDE	Do not compile or package the Windows launcher browser-open loopback nonce package-root data/rbcsp.sqlite path-resolution behavior or clean-Windows archive assets into the public artifact.	These are local one-click delivery concerns and would be wrong on Linux service hosts, whose writable state is external under /var/lib/bcsp.	public build graph; package manifest	P4-T-EXCLUDE-WINDOWS-LAUNCHER	P7-PUBLIC-PACKAGE;P7-PUBLIC-ZERO-SURFACE
P4-B065	P3-07-§5;§11;P6-REVIEW-LOCAL-STORAGE-AMENDMENT-001	LOCAL_ONLY personal tables and migrations in the Windows single database	PUBLIC_EXCLUDE	No public build-reachable migration, table, API, or storage adapter for per-user filters selected settings Saved views history acknowledgements or local Reset state; these LOCAL_ONLY domains remain isolated even though the Windows package stores them in its single data/rbcsp.sqlite.	Public sessions are anonymous and ephemeral, so the public schema must not carry dormant personal persistence.	public migration graph; storage graph; API; package	P4-T-EXCLUDE-LOCAL-USER-DB	P7-PUBLIC-ZERO-SURFACE
P4-B066	P3-07-§10	SAVED_VIEWS LOCAL_ONLY manager codec persistence API	PUBLIC_EXCLUDE	No Saved views source consumer DOM route API storage key i18n catalog symbol compiled bundle or package artifact; retain only shared FilterSchema ordinary filtering.	The user explicitly approved Saved views only for the local package.	public feature graph; React build; API; artifact audit	P4-T-EXCLUDE-SAVED-VIEWS	P7-PUBLIC-ZERO-SURFACE
P4-B067	P3-07-§11.2	PERSISTENCE LOCAL_ONLY durable episode watch history	PUBLIC_EXCLUDE	No durable public user history schema API route page or package surface; current-page alerts remain ephemeral under P4-B047.	Persistent history is local-only and public has no user identity.	public storage; API; UI; artifact	P4-T-EXCLUDE-PERSISTENT-HISTORY	P7-PUBLIC-ZERO-SURFACE
P4-B068	P3-07-§11.3	RESET LOCAL_ONLY reset local user data	PUBLIC_EXCLUDE	No public Reset-user-data operation confirmation token API route or destructive storage behavior; a new page naturally starts default current state.	There is no public durable user data to reset and exposing a destructive route would be unsafe.	public API; settings UI; route and bundle audit	P4-T-EXCLUDE-LOCAL-RESET	P7-PUBLIC-ZERO-SURFACE
P4-B069	P3-07-§12.1-§12.2	LOCAL_ONLY configurable Catalog and Open intervals	PUBLIC_EXCLUDE	No public controls API parameters config persisted preferences or URL keys for ordinary users to change fixed 10-minute Catalog 30-second Open or 10-second watched-target policy.	Public cadence is centrally fixed and evidence-bound.	public UI; API; config schema	P4-T-EXCLUDE-USER-INTERVAL-CONFIG	P7-PUBLIC-ZERO-SURFACE;P7-PUBLIC-RUNTIME
P4-B070	P3-23a-§6	LOCAL_ONLY run counters	PUBLIC_EXCLUDE	Do not expose or store a per-browser or local-process run counter; public exposes only service-wide Rutgers-day attempted succeeded failed empty counters.	Run counters belong to the local install lifecycle.	status API; metrics UI	P4-T-EXCLUDE-LOCAL-RUN-COUNTERS	P7-PUBLIC-ZERO-SURFACE;P7-PUBLIC-RUNTIME
P4-B071	P3-07-§8;§12	LOCAL_ONLY immediate upstream refresh action	PUBLIC_EXCLUDE	No ordinary public UI button or API route that schedules an immediate Catalog or Open upstream request; operator diagnostics may inspect state but cannot be reachable as a public user capability.	Visitor actions cannot amplify or bypass scheduler backoff and circuits.	public API allowlist; React UI; route audit	P4-T-EXCLUDE-MANUAL-UPSTREAM-REFRESH	P7-PUBLIC-ZERO-SURFACE;P7-PUBLIC-RUNTIME
P4-B072	P3-07-§13;P6-REVIEW-LOCAL-STORAGE-AMENDMENT-001	LOCAL_ONLY Windows package documentation and assets	PUBLIC_EXCLUDE	Exclude BAT local README package-root data/rbcsp.sqlite layout local writable-directory troubleshooting upgrade-preserves-data guidance and Windows archive manifest from the Linux public package; shared product help may be reused only after public adaptation.	The final deliverables are exactly two packages with distinct storage roots and operational instructions.	public package allowlist; docs audit	P4-T-EXCLUDE-LOCAL-PACKAGE-ASSETS	P7-PUBLIC-PACKAGE;P7-PUBLIC-ZERO-SURFACE
